CD107a,CD3,CD45,CD68,CD86,FerritinHC,HLADR,Mac2,MerTK,PLP,S100B,TIM3,Vimentin,Type
-0.354224677,-0.075558184,-0.436554458,0.070297045,0.584973303,2.222604806,0.135373401,-0.29801883,0.563157192,2.342302843,-0.740639384,-0.518115036,-0.146125298,6
-0.800239552,-0.075558184,-0.616707011,-1.674773492,-1.007993524,1.985116859,9.918591482,-0.534333601,-0.864355492,-0.476332287,1.430057066,-0.752628982,-0.146125298,8
-0.701491748,-0.075558184,-0.616707011,-1.746924194,-1.373422116,0.044160309,-0.644566192,-1.142723857,-1.247450543,2.964360738,1.877834037,-1.603997196,-0.146125298,10
-0.170562432,-0.075558184,-0.318754514,-0.63053456,0.047986653,-0.384481312,1.727967771,-0.872901736,0.007765872,-0.645849653,-0.766046861,0.019997063,-0.146125298,4
-0.081817605,-0.075558184,-0.126674484,-0.470417227,0.605874121,0.334791711,1.168619381,-0.237943752,0.386797971,-0.553118786,-0.625782454,0.331281297,1.998405212,11
0.044451382,-0.075558184,-0.451466593,-0.7279656,0.06257191,0.435595539,-1.069563598,-0.991357723,-0.195839872,0.226029569,-0.734525709,-0.763683266,-0.014227301,4
-0.768985905,0.031172524,1.784652762,-1.739470324,-1.123975821,0.10103701,0.317108001,-0.718289882,-1.086480718,3.399769354,2.248516678,-1.571110558,3.755627374,10
-0.148587255,-0.075558184,-0.569205003,-0.716115236,0.019422683,1.7811846,0.315693821,-0.027155951,1.208775955,-0.62733259,-0.640678643,-0.109407989,-0.146125298,4
-0.75845608,-0.075558184,-0.392123387,-1.655551389,-0.929535881,4.109725349,2.568280566,-0.808506199,-0.901362953,0.20342598,0.807337071,-1.35093576,3.533685102,11
-0.580678478,-0.075558184,-0.616707011,0.193543653,-1.229189836,0.521991074,1.712800974,-0.809195723,-0.827224819,1.918523059,-0.758562789,-1.152134089,-0.146125298,6
-0.28018681,-0.075558184,-0.616707011,-0.74156415,0.110263161,1.772115788,-0.209909753,-0.457555946,-0.695592257,1.320216472,0.227048525,-0.472787015,0.411748356,6
-0.738181489,-0.075558184,-0.616707011,-1.727813763,-1.504994087,0.779007379,0.204003061,-1.424344415,-1.297199488,2.014925078,1.433251227,-1.684080596,-0.146125298,10
-0.62861174,-0.075558184,-0.616707011,-1.578596767,-0.545818123,1.415207826,-0.356892699,-0.428401573,-1.01533614,-0.670244831,1.476348368,-1.000143341,-0.057988868,9
-0.556253545,-0.075558184,-0.616707011,-1.526260239,-0.508308372,1.082726226,-0.697600938,0.098969424,-0.512818319,-0.501717915,0.992000179,-1.099865627,5.550977611,11
-0.315983563,-0.075558184,-0.40571685,-1.051731708,-0.907963688,1.394505938,2.76798751,-0.855481302,-0.263298089,-0.621350415,0.30764238,0.003773871,-0.146125298,8
-0.573713332,-0.075558184,-0.616707011,0.306993313,-1.170425362,0.924986858,-0.467080073,-0.993643367,-0.368819985,2.263417957,-0.766046861,-1.548007353,-0.146125298,6
-0.475433278,-0.075558184,-0.253475243,-0.877532001,-0.320227192,0.940091925,-0.76952297,-0.775834935,-0.129373687,2.561101396,0.012711012,-1.264820442,-0.146125298,6
-0.604057047,-0.075558184,-0.537427798,-1.623151702,-1.34670847,-0.20081462,0.660054783,-0.181451579,-0.967218444,-0.64642192,1.634723641,-0.52770073,-0.146125298,8
-0.464937206,-0.075558184,-0.616707011,-1.309359569,-0.343371476,0.974425569,2.661199769,-0.542371521,-0.77587869,0.527366336,0.378811231,-0.948346648,-0.146125298,8
-0.0939899,-0.075558184,-0.616707011,-0.928529903,0.803596363,1.288175454,-0.449293559,-0.46511647,0.358752376,-0.373706615,-0.743810405,-0.516935467,-0.146125298,4
