CD107a,CD45,CD68,CD86,FerritinHC,HLADR,Mac2,MerTK,PLP,TIM3
-0.731364369,-0.645589709,-0.972233415,-0.453565091,-0.509146035,0.997950971,-0.647892416,-0.593243599,-0.247769326,0.085334823
-0.973711789,-0.780059218,-1.022480845,-0.869515896,-0.586179078,-0.272008985,-0.750096738,-0.600564778,0.016511831,-0.272212714
-0.161046356,0.13417168,-0.238220766,-0.219705388,0.070541441,0.596863031,-0.372876674,-0.518950045,0.502766609,0.137721539
-0.317750305,-0.255343437,1.006275892,0.214205369,1.735420704,4.255040169,-0.188697815,-0.56944263,-0.27683562,-0.517017424
-0.406562328,0.664491415,-0.401239306,-0.382264465,0.839628279,1.139874339,-0.584169507,-0.250167727,1.252377629,-0.306495517
0.569206953,-0.61345315,0.603180349,-0.006131859,-0.198788196,2.09282589,-0.398294747,-0.364308208,0.067195565,-0.003248814
-0.733766973,-0.157888412,-0.741815865,-0.419736326,1.284383059,0.700369596,-0.647892416,-0.535023332,-0.519212127,-0.333923042
-0.574302673,0.626843691,-1.095507383,-0.149106234,1.455222607,-0.240134507,-0.195995927,-0.265746087,-0.629067123,0.214082569
-0.391603053,0.251880556,-0.604576826,-0.266045153,0.2365641,0.377071321,0.073159963,-0.249862269,-0.294012278,-0.130612597
-0.612769783,-1.703841448,-1.514786482,-0.114024565,-0.047385354,0.788541853,-0.66216284,-0.30446291,-0.623196423,-0.073163398
-0.448365927,-0.17226167,-0.694534838,-0.296449274,1.030611992,2.578438759,-0.492344886,-0.293741345,0.295979917,-0.236893609
-0.250595331,0.153583437,-0.352570772,0.426410884,0.602159083,-0.203675091,-0.05490246,0.033583563,-0.415274829,-0.244420171
0.368773907,-0.039405286,-1.117061853,-0.096483722,0.844630182,-0.060116142,-0.724595904,-0.521128178,-0.698531687,-0.288597882
-0.185177729,-0.360761583,-0.976769328,0.308165282,1.344277024,0.905598104,-0.514476299,-0.113446236,-0.062084589,-0.168251723
-0.436656982,-0.470532447,-0.974226475,0.561297715,0.019591602,-0.248171046,-0.655919492,-0.489856929,-0.544007719,0.020415952
-0.537718475,-0.876784623,0.047122188,0.170729309,-0.405770302,-0.165321678,-0.353078604,-0.215464503,0.505346835,-0.787174821
-0.463038534,-1.028914332,-0.127726406,-0.594849885,-0.829152822,0.116876699,0.109803684,0.272084862,-0.560339451,-0.722001374
-0.548819602,0.527684391,-1.225176215,-0.714105904,0.303150475,1.243325114,-0.55044049,-0.504316926,-0.523594499,0.384918332
-0.50794059,-0.535384715,-0.980431259,-0.399311393,-0.479858667,0.206272215,-0.444942862,-0.321826488,-0.464738518,-0.661746681
-0.442742705,-0.13948825,-0.853477597,0.458534867,-0.245118499,-0.265366197,-0.489470601,-0.393135101,-0.415327221,0.018701114
-0.643136859,-1.016688704,-1.401002884,-0.828234553,-0.266739309,-0.42257899,-0.737553716,-0.585820138,-0.841748357,-0.398347527
-0.460867286,-1.277960896,-0.412101537,-0.49597013,-1.1510607,0.197415158,-0.617140651,-0.602829933,-0.149094552,-0.69822681
0.332910061,-0.357639194,-0.38164705,-0.108366229,0.726622164,0.111606441,-0.315759987,0.052058481,-0.032158364,-0.476234376
-0.327626467,-0.54216516,-1.353291035,-0.182341516,1.851124406,2.412767649,-0.723938704,-0.560746312,-0.181722865,0.017545855
-0.329475284,-0.234667584,-0.561218679,-0.374315888,0.083859026,0.067749046,-0.367897868,-0.445855319,0.37327075,-0.557062387
-0.284653544,-0.473284841,0.00853111,-0.322905362,-0.003804226,0.307234555,-0.54302448,-0.594060361,-0.355020046,-0.320616573
0.119373627,-0.923037589,-0.294223636,-0.376435518,0.481670052,0.76385361,-0.577253819,-0.003901256,-0.193493932,-0.335131735
-0.331241816,0.092763357,-0.477633268,0.2348959,0.431262136,1.022079229,-0.265628487,0.711431026,-0.451935053,-0.7602247
-0.634726465,-0.209036708,-0.479321569,0.564541578,0.845907152,1.401520252,-0.522757471,-0.424040377,-0.386911541,-0.384215385
-0.275850505,-0.226524398,-0.584042788,-0.348517865,-0.676179945,1.535685778,-0.010230165,-0.202419803,0.240640864,-0.22736913
-0.252818406,0.109320574,-0.637742341,0.121523842,0.909785569,-0.251890808,-0.172687575,-0.282509208,-0.568239033,0.34293291
