CD107a CD3 CD45 CD68 CD86 FerritinHC HLADR Mac2 MerTK PLP S100B TIM3 Vimentin
-0.515497493 -0.075558184 -0.519653745 -1.262365874 -0.479875515 0.723493363 1.015497436 -0.890789385 -0.525930362 -0.523300742 1.656766449 -1.050636189 -0.146125298
-0.475220106 -0.075558184 0.172761217 -0.327714201 0.289323718 0.280032094 1.399245804 -0.534756371 -0.297406177 -0.477831112 1.033538141 -0.438487064 -0.1151714
-0.650494549 -0.075558184 -0.616707011 -1.568665123 -0.67102034 0.687229909 -0.932935157 -0.935944791 -1.077732664 -0.400172032 0.942149716 -0.497645516 0.177758167
-0.563129621 -0.075558184 -0.537531476 -1.273351407 -0.468478594 1.594420812 -0.772814226 -0.421310726 -0.555417354 -0.596394394 0.359277331 -0.489996265 -0.116918798
-0.712301387 -0.075558184 -0.616707011 -1.677344782 -0.957710089 0.828258381 -0.978950772 -0.971989897 -1.19947533 -0.474356227 0.068814353 -1.62357616 -0.146125298
-0.490730524 -0.075558184 2.070751178 0.339723615 0.612156801 0.835377348 -0.296108739 -0.148183636 -0.137439247 -0.638834937 -0.766046861 0.009421296 -0.091801208
-0.69415848 -0.075558184 -0.61165516 -1.421441102 -0.798972476 1.115230811 -0.932935157 -0.742779996 -1.049863861 -0.604233658 1.278343304 -0.843722461 -0.05411295
-0.686685516 -0.075558184 -0.616707011 -1.695963433 -1.052772706 1.336450572 -1.010037208 -0.976624362 -1.012571793 -0.681182227 1.928463608 -0.864839333 -0.146125298
-0.619397452 -0.075558184 -0.614347349 -1.313761771 -0.714056682 1.450215958 -0.881883942 -0.524941677 -0.72408108 -0.519842992 0.887691428 -0.507055954 -0.146125298
-0.558570484 -0.075558184 -0.61374807 -1.633787784 -1.009832375 0.609169417 -0.983297869 -0.787935403 -1.113563982 -0.548036745 1.135776218 -0.450037048 -0.146125298
-0.389498933 0.504007038 0.091779617 0.408178499 0.700407901 1.089943474 2.322811767 -0.465915927 0.097705733 -0.684511247 -0.715230051 0.097237871 -0.146125298
-0.561484572 -0.075558184 0.577362965 -0.880829411 -0.797088056 0.687035958 -0.461332494 -0.672357217 -0.980622814 -0.594949855 0.072756991 -0.426818009 -0.146125298
-0.561676709 -0.06596006 0.064077037 -1.501223324 -0.435403611 1.007630674 0.624124929 -0.969907832 -0.686650668 -0.453226334 0.790959495 -0.415387097 0.298284232
-0.290037309 -0.075558184 -0.071448153 0.958396548 0.780779438 -0.029180274 0.666534206 -0.866361564 -0.304547558 -0.502029911 -0.368707964 0.549397461 -0.146125298
-0.634046879 -0.069842024 -0.616707011 -1.613653358 -0.969894328 0.331150551 0.178651632 -0.924176541 -0.955460114 -0.453574151 0.590827337 -0.886336162 -0.142965083
-0.59042023 -0.075558184 -0.616707011 -1.242658118 -1.04715328 0.897383491 -0.621509172 -0.580778792 -0.812390257 0.333461192 0.916561113 -0.748221833 -0.146125298
-0.437753351 -0.075558184 -0.60117257 0.630354135 -0.595398858 1.767706233 -1.164473663 -0.804524755 -0.804213846 -0.654898206 -0.766046861 -1.049425304 -0.041468672
-0.620019723 -0.075558184 -0.583129462 -1.560000907 -0.901606666 0.819243838 -0.081936709 -0.926564683 -0.929041348 -0.1193288 0.847699074 -0.215019992 -0.146125298
-0.492320523 -0.075558184 -0.334174376 -1.343461672 -0.28716393 0.384297069 0.00525921 -0.468123803 -0.743742476 -0.57990634 0.046915663 -0.091085217 0.028353117
-0.235523056 -0.075558184 -0.068933053 0.012374292 1.385679692 0.812335465 -0.281241667 0.26631791 0.110672726 -0.109025995 -0.700260528 -0.1685062 -0.146125298
-0.741578923 -0.075558184 -0.616707011 -1.692975767 -1.12307102 1.172161495 -1.224728961 -0.894745307 -1.066477955 -0.658963286 1.889761742 -1.024648726 -0.146125298
-0.724401497 -0.075558184 -0.616707011 -1.722375434 -1.096552588 0.997083749 -0.966778899 -0.709766377 -0.617340036 -0.566887286 0.069526344 -1.272857872 -0.146125298
-0.650100589 -0.075558184 -0.509593345 -1.226556253 -0.522700312 1.125693269 -1.231082411 -0.355948679 -0.754454548 -0.359957823 1.331610756 -0.990576275 -0.097262359
-0.436731475 -0.075558184 -0.580549261 -0.888188695 0.982351326 0.458436053 0.081890852 -0.169038168 -0.494409785 -0.567540981 0.231047339 0.151856489 -0.146125298
-0.633948217 -0.075558184 -0.60997542 -1.473905032 -1.0084941 1.472010213 -0.475339558 -0.641368479 -0.68304074 -0.536921537 1.572921123 -0.455667665 -0.146125298
-0.643370434 -0.075558184 -0.616707011 -1.398092567 -0.82940143 1.387583883 -0.871551899 -0.445492146 -0.673798953 -0.028869176 1.588884501 -0.365246581 -0.146125298
-0.612780498 -0.075558184 -0.616707011 -1.355732509 -0.872338378 0.895390344 -1.226556666 -0.972508987 -0.97045686 -0.485145135 1.003779466 -0.542595135 -0.146125298
-0.565144123 -0.075558184 -0.603340167 -0.756800273 -0.084555335 0.903193327 -0.681730636 -0.839362394 -0.702638017 -0.502264229 0.050158551 -0.401587553 -0.146125298
-0.395599896 -0.075558184 -0.464297452 -0.199525105 0.122949758 0.549916993 -0.468088968 -0.737345985 0.100836296 -0.495323747 -0.61768183 0.132465866 -0.145142234
-0.49665306 5.555981069 3.170145717 -1.067059381 -0.437050719 0.326803045 -0.702475388 -1.261063719 -0.591222987 -0.640583517 -0.761731466 -0.089677563 -0.146125298
-0.258051363 -0.075558184 0.61427475 0.120128104 0.470158791 0.673699946 0.44515828 -0.918938896 -0.104964757 -0.543569899 -0.643487645 -0.34572246 -0.146125298
-0.337612868 -0.075558184 -0.570978869 -0.885040187 -0.302997042 0.625299096 0.013656837 -0.732886793 -0.643411105 -0.579024326 0.542663645 -0.259706334 -0.146125298
-0.447575785 -0.075558184 -0.610525767 -1.218351094 0.395566468 0.133843848 -0.257241593 -0.946793647 -0.829831635 -0.52015906 -0.089311657 0.698490892 -0.146125298
-0.411959229 -0.075558184 -0.496298983 -0.289770982 -0.137899078 2.400524348 0.468794945 0.608062001 0.522815485 -0.401147923 -0.422224337 -0.294903037 -0.146125298
-0.608037121 -0.075558184 -0.616707011 -1.67496113 -1.298899753 0.663478211 -1.284769062 -0.893360734 -1.054392541 -0.678353902 0.454412744 -1.046882445 -0.146125298
-0.453710331 -0.075558184 -0.38452559 0.138046541 0.087553041 2.697004845 0.047805548 -0.316797809 -0.149971218 -0.395362775 -0.460367947 -0.244186536 -0.146125298
-0.596576064 -0.075558184 -0.616707011 -0.659691657 -0.381630393 1.679198492 0.381946372 -0.685081421 -0.518248877 -0.585918455 -0.022054964 -0.211563859 -0.146125298
-0.666458461 -0.075558184 -0.616707011 -1.367625169 -0.819204821 0.799714334 0.438468396 -0.633261858 -0.916689275 -0.546067111 0.594505918 -0.487861039 -0.146125298
0.939561965 -0.075558184 -0.616707011 -1.577989604 -0.371475249 0.811204032 -0.677696934 -0.299378989 -0.540213124 -0.48131884 0.673583254 0.135547115 -0.146125298
-0.158126276 -0.075558184 -0.357059935 0.656535854 -0.635115403 1.716006242 0.173029994 2.503392015 3.86499863 -0.671183659 -0.766046861 -0.22481237 -0.146125298
-0.637638036 -0.075558184 -0.616707011 -1.119121635 -0.774558033 1.175725389 -1.164082395 -0.710974731 -0.816779326 -0.597455069 0.761929962 -0.828036507 -0.146125298
-0.669253149 -0.075558184 -0.616707011 -1.60791061 -1.099803145 0.969509258 -0.846966615 -0.904420635 -0.965082261 -0.521574257 1.097095329 -0.897772854 -0.146125298
-0.633948217 -0.075558184 -0.616707011 -1.453076112 -0.861729953 0.569356087 -1.043867424 -0.815363131 -1.059153462 -0.375026882 0.079551821 -1.511095531 -0.146125298
-0.700982614 -0.075558184 -0.616707011 -1.708919412 -0.973668305 1.375066703 -1.20334063 -1.094927059 -0.890522383 -0.616143773 0.831516106 -0.800768608 -0.123087092
-0.652272086 -0.075558184 -0.616020406 -1.391800812 -0.423801058 0.704777289 -0.205263534 -0.702129043 -1.004442331 -0.648637209 0.640105636 -0.664062709 -0.146125298
-0.570784468 1.374765742 -0.298730441 -1.513288564 -0.911692216 0.593026908 -0.392897664 -1.039356247 -0.911035934 -0.351973117 0.667484544 -0.892144749 -0.146125298
-0.696667094 -0.075558184 -0.616707011 -1.724920157 -1.128131789 1.564327351 -1.309263793 -0.995998801 -1.021356841 -0.673230614 1.836252828 -0.872978046 -0.146125298
-0.523749248 -0.061317489 -0.479823826 -0.37398619 -0.034637276 1.520219106 0.395676973 -0.526328536 -0.396764518 -0.619124941 0.163313192 -0.40597135 -0.146125298
-0.525136812 -0.075558184 -0.356797449 -1.109248876 -0.673968546 0.669565416 -0.922017821 -0.572273828 -0.997722229 -0.040728555 0.504967334 -0.803615575 -0.146125298
-0.550473266 -0.050538074 -0.615736108 -1.12866344 -0.896079008 1.093441274 -0.265755133 -0.648118271 -0.86871664 -0.100496338 1.650985226 -0.206043646 -0.071461111
-0.48129475 -0.075558184 -0.271149531 -0.328621064 1.184745899 -0.31602938 1.70192598 -0.769436485 -0.009695871 -0.332064619 -0.150363928 0.087909665 -0.146125298
-0.549873053 -0.075558184 -0.440809347 -1.220619645 -0.633056519 0.793059476 0.59871113 -1.099662086 -0.895084816 -0.622736851 0.178375348 -0.503166972 -0.146125298
-0.378691802 -0.075558184 -0.588976109 0.222726472 -0.082772855 1.316057006 2.465890259 -0.562676683 -0.193531547 -0.676369303 -0.754324119 -0.174555623 -0.086264041
-0.546542122 -0.075558184 -0.616707011 -1.387104032 -0.717689812 0.604836269 -0.784718768 -0.632560239 -0.637761347 -0.614005471 -0.113827279 0.182508857 -0.146125298
-0.371184827 1.286108248 1.405213861 -0.741001294 0.420166982 -0.208414051 0.368844744 -0.026353673 -0.091991179 -0.614069703 -0.165949648 0.98229068 -0.146125298
-0.436262864 -0.075558184 -0.614317097 -1.061944003 -0.006126202 0.532996339 -0.624327956 -0.880899579 -1.044504475 -0.415827072 -0.016093491 -0.155512469 5.123775767
-0.14257073 -0.075558184 -0.583879514 0.477876058 -1.07194853 1.98164708 1.77349996 -0.411451017 0.500272584 -0.638885633 -0.685571279 -1.066217771 0.013316477
-0.728630004 -0.075558184 -0.616707011 -1.729241203 -0.926924613 1.267080425 -1.553403766 -1.216911766 -0.994126254 -0.610968966 0.735532409 -1.266705393 -0.146125298
-0.620019723 -0.075558184 -0.616707011 -1.396824198 -0.65373488 0.645871485 -0.685238203 -0.745452237 -1.030173945 -0.245465729 0.64876463 -1.057164441 -0.054272971
-0.519194056 -0.075558184 -0.611142435 -1.297926688 -0.477318811 0.262779051 0.800504281 -0.651308472 -0.826081531 -0.337182367 0.983298666 0.466548956 -0.119098387
-0.650869749 -0.075558184 -0.616707011 -1.606776217 -0.906594025 1.468918098 -0.829907438 -0.861402533 -0.845397846 -0.631505526 1.333688043 -0.836136496 -0.146125298
-0.380221383 -0.075558184 -0.345224171 -0.374276998 0.676393996 0.493074532 1.081573314 -0.222238503 -0.093366725 -0.398234656 -0.503136062 0.18809954 0.302982591
-0.451352156 -0.075558184 -0.616707011 -1.116451961 -0.132108632 0.737715156 -1.333613945 -0.57868075 -0.927817723 -0.463181371 0.147658947 -0.237756317 0.103640634
-0.630807478 -0.075558184 -0.616707011 -1.45115529 -1.211465793 0.815451006 -0.658424803 -0.623369032 -1.021066097 -0.629281722 0.126395756 -1.581165431 -0.146125298
-0.303556142 -0.075558184 -0.616707011 -1.109796937 -0.409354247 0.393448524 -1.363952383 -0.839362394 -0.806617677 -0.107716414 -0.186802865 0.039581818 -0.090357814
-0.674590316 -0.075558184 -0.614852152 -1.401188818 -1.176417638 0.92886354 -1.115203073 -0.758767856 -1.260959645 -0.417163809 0.401882391 -0.772747034 0.038558591
-0.444718699 -0.075558184 -0.615412474 -0.067502771 0.087553041 1.323940042 -1.07277562 -0.839362394 -0.821107435 -0.556699678 -0.476145294 -0.884845801 -0.081154356
-0.586966205 -0.075558184 -0.609046191 -0.380158577 -1.11872762 1.259174084 -0.149429342 -0.834431039 -0.704367055 -0.529312397 -0.339917589 -0.9313391 -0.062062144
-0.393910387 -0.075558184 -0.420641258 -0.326210644 -0.047054026 1.092223096 -0.275227479 -0.912758196 -0.508180911 -0.613209945 0.364544945 -0.314464911 -0.146125298
-0.636675701 -0.075558184 -0.603625377 -1.29965673 -0.839378414 2.212904777 -0.674653966 -0.934096325 -1.064164957 -0.658978394 0.975652321 -0.890608129 -0.146125298
-0.304488237 -0.075558184 -0.60972524 -0.156094641 0.369643345 -0.394130492 2.55157599 -0.802959018 -0.284567739 -0.612057088 -0.300977055 0.025718452 -0.146125298
-0.549233152 -0.070312362 -0.611855414 -1.462848946 -0.921819701 0.52594947 0.254136645 -0.673962072 -1.00768405 -0.526635761 1.127352068 -0.742220414 -0.146125298
-0.550004832 -0.075558184 -0.583284427 -1.432569149 -0.576717953 0.402023228 0.499655072 -0.904814928 -0.933638284 -0.422442402 1.990039095 0.30753687 -0.146125298
-0.589977873 -0.05222941 -0.615379281 -1.297698806 -0.684299865 1.025827786 0.1440865 -0.57783197 -0.98590853 -0.312168054 2.406386464 -0.496878647 -0.101414112
-0.606658976 -0.075558184 -0.613613014 -1.333112375 -0.958855762 0.716442266 -0.33727593 -0.843843584 -0.899534217 -0.379965353 0.833308272 -0.63507641 -0.142368445
-0.606710193 -0.075558184 -0.596627559 -1.568956653 -0.640608759 0.094011792 -0.043736396 -1.013854848 -0.706554282 -0.386885836 1.877720942 -0.23759805 -0.146125298
-0.272797759 -0.075558184 -0.616707011 -0.766508698 0.478741088 0.351929187 -0.595737431 -1.017378901 -0.385300094 -0.655477609 0.214659311 1.836859684 -0.146125298
-0.573767608 -0.075558184 -0.616707011 -1.596967408 -1.278350757 1.007249827 -1.071221416 -0.804524755 -1.292592146 -0.566540597 0.401379677 -0.566282043 -0.146125298
-0.614570451 -0.036418664 -0.519396931 -1.694873242 -0.817423795 0.816057407 -1.237315984 -1.063506449 -1.084305495 -0.606778719 0.792726146 -1.27444436 -0.146125298
-0.618457454 -0.075558184 -0.49348467 -1.554741343 -0.57296501 0.486354303 -1.186285206 -1.077321182 -1.062381204 -0.392298232 0.241528099 -0.591279642 -0.146125298
-0.645455678 -0.075558184 -0.616707011 -1.552828993 -1.02431207 1.375705329 -0.925075272 -0.857066768 -1.004519947 -0.561180806 0.950660963 -0.970638353 -0.146125298
-0.6381786 -0.075558184 -0.616707011 -1.557692341 -1.177307919 0.586653194 -0.362656588 -0.685081421 -0.866384761 -0.542309691 1.096997964 -0.733176643 -0.146125298
-0.591648479 -0.075558184 -0.616707011 -1.582391915 -0.861198439 0.390753617 -0.304965719 -1.138076618 -0.893027724 -0.474661284 0.834217476 -0.672865719 -0.146125298
-0.493633585 -0.075558184 -0.554149399 0.344752146 -1.107490273 0.021648465 -1.32930331 -0.635044349 0.065453172 -0.684511247 -0.766046861 -0.486559969 -0.101263061
-0.498896445 0.103980057 -0.464814705 -1.464360945 -0.661880901 0.375602251 1.42296535 -0.767364607 -0.297406177 3.922427235 0.287722763 -0.284872284 3.193800252
-0.715903724 -0.075558184 -0.616707011 -1.568683355 -0.902265373 1.517750187 -1.237315984 -0.900492591 -0.566892245 -0.684511247 1.059986858 -0.768751215 -0.129042251
-0.600654826 -0.075558184 -0.615936071 -1.207947221 -0.906423242 0.488213849 -0.549008833 -1.115383688 -0.938181188 -0.502388268 -0.022112476 -0.558457861 -0.146125298
-0.513001218 -0.073176104 -0.408677317 -1.234975443 -0.298064787 0.552209582 0.176934477 -0.641695742 -0.7960044 -0.323823097 1.790581245 -0.000133691 -0.14246711
-0.431959448 -0.075558184 -0.616707011 -0.954832751 0.017293609 2.159847809 0.926707975 -0.704366543 -0.440233793 -0.576757698 0.380904432 -0.304579443 -0.146125298
-0.044765232 -0.075558184 -0.577331519 -1.18386833 -0.775076653 0.892499147 0.553310436 -0.419375302 -0.969886202 -0.172876248 2.347008928 -0.370269974 -0.106304398
-0.641920862 -0.075558184 -0.616707011 -1.448902017 -0.229515165 -0.096103224 2.199780478 -0.534756371 -0.86871664 -0.657528007 0.19928842 -0.761886602 -0.146125298
-0.242649102 -0.075558184 -0.333228857 -0.254624078 1.270483088 0.457057724 0.783584061 -0.394670178 -0.09576719 -0.582657115 -0.262068965 0.038685783 3.309786327
0.050530232 -0.075558184 -0.496440375 0.168438911 -0.156617372 -0.072451644 0.077646267 -0.358602976 -0.378495404 -0.506544095 -0.65940877 0.044004182 -0.146125298
-0.650980686 -0.075558184 -0.600575092 -1.670327607 -0.438491938 1.554918913 -0.95788407 -0.05015588 -1.011544256 -0.65264806 0.953030391 -1.125711082 -0.146125298
-0.649079462 -0.075558184 -0.575689966 -1.39637873 -0.785555961 1.368739369 -1.139943269 -1.068123836 -1.000990492 -0.613700393 0.921033517 -0.729626303 -0.036109351
-0.55280178 -0.075558184 -0.616707011 -0.598197376 -0.631291761 0.679585322 1.718733565 -0.596920865 -0.705485079 -0.445071608 0.23507136 0.064762216 0.023252535
