ZScoreNorm_Cell_CD107a,ZScoreNorm_Cell_CD3,ZScoreNorm_Cell_CD45,ZScoreNorm_Cell_CD68,ZScoreNorm_Cell_CD86,ZScoreNorm_Cell_FerritinHC,ZScoreNorm_Cell_HLADR,ZScoreNorm_Cell_Mac2,ZScoreNorm_Cell_MerTK,ZScoreNorm_Cell_PLP,ZScoreNorm_Cell_S100B,ZScoreNorm_Cell_TIM3,ZScoreNorm_Cell_Vimentin,Phenograph2488198336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.563273353,-0.086755992,0.072833962,-0.525789729,-0.291187032,1.359376998,-1.680281409,-0.684014388,-0.554186412,1.959114113,-0.275959466,0.234907906,-0.076812388,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.411883548,-0.086755992,1.304066967,-0.293703262,-0.4035793,1.116208617,-0.685382482,-0.480641005,-0.46195281,-0.472117534,-0.275959466,-0.375414759,-0.076812388,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.706607106,-0.086755992,-0.523635719,-0.35341105,0.082862399,-0.294915689,-1.340188408,-0.624957804,-0.536216824,0.108311808,-0.275959466,-0.359823156,-0.076812388,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.895627009,-0.086755992,-0.555979314,-0.602830255,-1.113533431,2.220664289,-1.377289463,-0.413792726,-0.550896836,-0.659571597,-0.275959466,-0.648177611,-0.076812388,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.821087578,-0.086755992,0.716574347,-0.281042918,-0.485890338,1.192493543,-1.30995792,0.117001852,-0.577863238,-0.700885153,-0.275959466,-0.417858567,-0.076812388,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.508862918,-0.086755992,0.830918716,-0.094763986,-0.220593431,1.23127372,0.206272216,-0.360128132,-0.346101762,-0.060171251,-0.275959466,-0.091048526,-0.076812388,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.155115311,0.630130647,0.093807133,0.777382956,1.812661132,0.117163856,0.46759483,1.366662107,0.044703246,-0.147778299,-0.275959466,0.35770556,-0.076812388,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.160213876,-0.027247926,-0.164853977,0.78772145,1.284501745,-1.168134935,0.121292323,1.41196489,-0.160784069,-0.615919226,-0.275959466,-0.152350127,-0.076812388,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.563515794,-0.086755992,-1.017278775,0.603428446,-0.207696257,-0.04772913,-0.993083181,-0.14905312,-0.475142384,-0.524648502,-0.275959466,-0.084712465,-0.076812388,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.056934146,-0.086755992,0.188961945,-0.015372327,-0.614944901,1.004938813,-1.13390249,-0.682632673,-0.496777618,0.024329926,-0.275959466,-0.307669128,-0.076812388,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.071320538,-0.086755992,-1.612748888,-1.85779152,-1.096311517,-0.20013327,-0.605148698,-0.527226833,-0.613717128,-0.470138361,2.300297717,-0.251070583,-0.076812388,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.84488245,-0.086755992,-0.793652141,-0.581122263,0.139871641,1.021085976,-0.550480933,-0.658776615,-0.488153284,0.192224219,-0.275959466,-0.111138291,-0.076812388,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.616401473,-0.086755992,-1.29853202,0.001463172,-0.106051455,1.425229202,-0.544061612,-0.732541908,-0.615957341,-0.207009276,-0.275959466,-0.129959763,-0.076812388,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
