ZScoreNorm_Cell_CD107a,ZScoreNorm_Cell_CD3,ZScoreNorm_Cell_CD45,ZScoreNorm_Cell_CD68,ZScoreNorm_Cell_CD86,ZScoreNorm_Cell_FerritinHC,ZScoreNorm_Cell_HLADR,ZScoreNorm_Cell_Mac2,ZScoreNorm_Cell_MerTK,ZScoreNorm_Cell_PLP,ZScoreNorm_Cell_S100B,ZScoreNorm_Cell_TIM3,ZScoreNorm_Cell_Vimentin,Phenograph2488198336
0.847607155,-0.086755992,1.621239109,1.347640642,1.726911977,0.470587175,-0.224155067,0.302579596,-0.311662684,-0.283934655,-0.275959466,1.032873036,-0.076812388,4
-0.769206886,-0.086755992,-0.142066521,-0.939881086,-0.413442596,-0.303228903,-1.292733571,-0.774832721,-0.554840928,-0.7053331,-0.275959466,-0.802634568,-0.076812388,2
-0.704517921,-0.086755992,-0.44076379,-0.741098861,-0.799426281,-0.032137417,-1.182831946,-0.725527718,-0.627577236,-0.588233005,-0.275959466,0.041306264,-0.076812388,2
-1.24144353,-0.086755992,-0.24792852,-0.687802728,-0.612184375,-0.033440505,-0.569310941,-0.747071785,-0.534976913,-0.46644338,-0.275959466,-0.521267118,-0.076812388,1
-0.810780764,-0.086755992,-0.146959,-1.174132774,-0.690366398,0.322023204,-0.357697518,-0.498053041,-0.538040222,-0.691742654,-0.275959466,-0.307063692,-0.076812388,2
-0.417662703,-0.086755992,-0.980188075,0.081539924,-0.995544998,1.449847588,-1.680281409,-0.817315627,-0.585239077,-0.398444392,-0.275959466,-0.560870392,-0.076812388,10
-0.475344989,-0.086755992,-0.081092296,-0.526767452,-0.113362645,-0.367121619,0.049059414,-0.73543332,-0.484167407,-0.77612698,-0.275959466,-0.530047089,-0.076812388,2
-0.943139327,-0.086755992,-0.603842743,-0.15181472,-0.335441704,1.608751735,-1.13390249,-0.468927358,-0.499414072,-0.060941323,-0.275959466,-0.574666615,-0.076812388,5
-0.452940746,-0.086755992,-0.528202398,0.207653482,-0.017549952,0.846903826,-0.754472685,-0.271956151,-0.342435183,-0.334204234,-0.275959466,-0.773325459,-0.076812388,5
-0.803799891,-0.086755992,0.402566801,-0.423792351,0.018047632,0.571929965,0.280254711,-0.632782549,-0.491039452,-0.643626214,-0.275959466,0.087778829,-0.076812388,1
-0.45429499,-0.086755992,0.088088548,1.730523847,-0.318754946,-0.750464511,7.771258395,-0.031122927,-0.52196166,-0.411944335,-0.275959466,-0.236507751,-0.076812388,1
-0.861666055,-0.086755992,-0.539294622,0.263648758,-0.735471411,-0.227542399,1.493919929,-0.760271919,-0.567396932,-0.415942675,-0.275959466,-0.177803004,-0.076812388,1
