CD107a,CD45,CD68,CD86,FerritinHC,HLADR,Mac2,MerTK,PLP,TIM3
0.695309103,-0.342398018,-0.121271953,0.827378869,-1.212147951,-1.135780692,0.203682467,1.848670363,-0.11116524,-0.108350039
0.676274121,-0.296889722,0.045806576,0.471927673,-0.451233506,-0.514976561,0.697085202,0.88349843,0.086801618,0.158301771
1.13396728,-0.371960312,-0.368124962,-0.406461567,-0.83616972,0.401935726,0.425741583,1.372219563,0.805132329,0.193462029
23.20094681,-0.038347844,-0.144273013,-0.130688712,-1.109322429,0.166676551,2.669540644,0.857771039,0.696472943,-0.808086514
0.114104226,-0.564007878,0.746776283,-0.258704424,-0.865380108,1.972343087,-0.442918867,0.07864628,-0.684511244,-0.507055938
-0.252100497,-0.616707027,0.908297181,0.967151821,0.479704469,2.928220272,-0.737049758,-0.213213056,-0.684511244,2.508703947
-0.288061678,-0.129627138,0.1842857,0.244692415,0.490059495,2.80807209,-0.618723989,0.034322478,-0.616136432,-0.159424558
-0.297929943,-0.579585731,0.35026443,0.968381226,-0.252419204,2.973746061,0.324757665,-0.638708532,-0.657177567,0.041362248
0.369476169,0.130045906,0.230078638,0.309730351,-0.145516992,1.485045433,-0.313714832,1.441804409,-0.32824713,0.478765607
-0.336755812,-0.599014997,0.286048621,1.196090698,1.516201735,2.637109518,-0.689366996,-0.559256792,-0.435107648,0.560345888
0.025606949,-0.382654786,0.92130065,0.462270021,0.983034313,-0.619880557,0.960582316,3.24471879,-0.652418435,0.188099533
0.422972232,-0.452311039,0.776087582,2.262091637,0.653814733,1.549827576,-0.558741093,-0.009501691,-0.470128059,1.319838762
-0.120232582,-0.287106723,0.277188301,1.276872158,1.888822556,6.252728939,-0.479373455,0.745856404,-0.498898506,0.176675096
0.514515281,-0.345141977,0.33496958,0.191641092,0.968495131,2.669229746,0.080609329,-0.011750945,-0.416656345,0.217295334
-0.162103191,-0.279387742,0.850364327,2.778702259,0.892787993,0.270642072,-0.685081422,0.073574647,-0.684511244,1.638409972
-0.20418264,-0.209565565,0.525421262,-0.220050439,0.028415989,2.250228882,1.175501108,-0.109811693,-0.661786735,0.121428557
0.051630214,0.788296819,0.89938271,1.08679831,0.335329801,1.136636496,0.789159,0.110672727,1.17246604,2.67808342
0.183013394,-0.124722145,0.841770113,4.156538486,0.517879248,0.556853116,-0.293026239,0.0521014,-0.632354915,2.862090588
-0.047896754,-0.389097422,0.624067962,1.128893614,0.511180699,1.327988863,-0.58279568,-0.227965131,-0.520232916,1.861937881
-0.138752192,-0.593910933,1.043024302,2.865780115,0.180354193,-0.372877955,-0.181157768,-0.202751189,-0.661988437,1.644952297
