ZScoreNorm_Cell_CD107a,ZScoreNorm_Cell_CD3,ZScoreNorm_Cell_CD45,ZScoreNorm_Cell_CD68,ZScoreNorm_Cell_CD86,ZScoreNorm_Cell_FerritinHC,ZScoreNorm_Cell_HLADR,ZScoreNorm_Cell_Mac2,ZScoreNorm_Cell_MerTK,ZScoreNorm_Cell_PLP,ZScoreNorm_Cell_S100B,ZScoreNorm_Cell_TIM3,ZScoreNorm_Cell_Vimentin,Phenograph3894194161
0.717466858,-0.075558184,-0.595180715,1.297661831,1.109995063,0.872449003,2.915178925,0.533738263,0.065784047,-0.534495916,1.204095501,-0.044632627,-0.146125298,1
-0.619814892,-0.075558184,-0.616707011,-1.750323402,-0.362107324,-0.876451566,3.196001405,-1.19935133,-1.097240826,-0.577037577,1.742511488,-1.441025631,-0.146125298,6
-0.265032196,-0.058761467,0.24605191,-0.870993002,0.664040689,1.058261364,0.509762833,-0.174767435,-0.451220532,-0.227231449,0.42357354,0.208312011,-0.146125298,5
-0.442475314,-0.075558184,-0.610049393,-1.750323402,-0.327312177,0.451260697,-1.396272106,-1.147924339,-1.195179763,-0.672516418,0.591543827,0.225636987,-0.146125298,8
-0.461656255,-0.075558184,-0.616707011,-1.732212789,-0.758236694,0.534593211,-1.098930655,-0.97307257,-1.048271358,-0.626936067,1.119405858,-0.359947177,-0.146125298,8
0.814381086,-0.075558184,-0.514623545,1.226351293,1.318765947,0.135443256,0.090435146,0.317744901,0.824810805,-0.684511247,-0.766046861,0.563474004,-0.146125298,1
-0.422604319,-0.075558184,-0.613036426,-1.353789038,-0.059487796,0.93534847,0.245169797,-0.625191761,-0.543286629,-0.618379418,1.387566026,-0.294185372,-0.146125298,6
-0.417237234,-0.075558184,-0.609537269,-1.709182708,-0.22230907,0.626765285,-0.824461624,-0.673213654,-0.747862504,-0.67288549,1.159509091,-0.519336949,-0.146125298,8
1.148735174,-0.075558184,-0.529714144,1.504318327,2.081047328,0.180562844,-0.966778899,2.170145114,0.890919588,-0.528674426,-0.766046861,1.375784343,-0.146125298,1
-0.047229962,29.24565897,2.288407888,-1.395591721,1.48116335,-0.098841351,0.368844744,-0.366118511,0.100585382,-0.082739199,-0.766046861,0.167432856,-0.146125298,12
0.651440497,-0.075558184,-0.551298841,2.494947173,0.738377254,0.461435828,-0.309497799,0.089030126,0.424249146,-0.517172857,-0.766046861,-0.904437714,-0.146125298,1
-0.384932491,1.050541707,-0.030836687,-1.014373962,0.547919606,1.229588352,0.486890413,-0.993643367,-0.901362953,-0.683231799,0.23615691,0.405816729,-0.146125298,12
-0.561693871,-0.075558184,-0.219162658,-1.739459081,-0.038732789,0.66459687,-0.665239258,-0.773729052,-0.947626925,-0.684511247,1.110528354,-0.141441909,-0.146125298,8
-0.359313771,-0.075558184,-0.616707011,-1.645465384,0.118267547,0.703377561,3.340068483,-0.644614281,-0.09135978,-0.443723243,1.317385022,0.140716206,-0.146125298,6
