CD107a,CD45,CD86,FerritinHC,HLADR,Mac2,MerTK,PLP,S100B,TIM3,Vimentin
-0.397607625,0.369729966,0.181232288,0.038369566,-0.639152646,0.720589638,-0.535452187,1.116667867,0.760485291,0.01292479,-0.146125302
-0.401533544,-0.325004727,-0.693107307,-0.092483141,0.131732568,1.26057303,-0.583061397,0.08422403,-0.303900808,0.319480598,-0.146125302
-0.508094311,-0.460253,-0.086422697,0.371568441,-0.157349393,0.317744911,-0.583061397,-0.387039483,0.887054622,-0.393730879,-0.146125302
-0.451157212,-0.16931513,0.297394544,0.421331823,-0.6430071,0.240604416,-0.617340028,0.220954418,0.737906098,-0.305893242,-0.146125302
-0.397046775,-0.38510263,-0.520753741,0.325014204,0.631055951,1.727311969,-1.039367795,0.974119186,0.852738261,0.041362248,-0.146125302
-0.002355759,0.849877775,0.655672312,0.029742323,-0.474407047,2.028936625,-0.076253742,0.065204278,0.809375226,1.773148537,-0.146125302
-0.428543895,-0.046282358,-0.511994123,0.117202587,-0.6430071,0.32700175,-0.823011816,-0.085345536,0.749726534,0.072484203,-0.146125302
-0.386212856,-0.008464206,-0.1592118,0.476253003,-0.086841598,0.890340567,-0.799044609,0.107706591,1.298684716,-0.061844919,-0.146125302
-0.187570706,0.127975225,-0.357423365,-0.548028469,-0.482566595,1.253073335,-1.011544228,0.082358167,0.147266209,-0.091085218,-0.146125302
-0.401533544,0.493806332,-0.3832452,0.065652624,-0.290771842,1.071348071,-0.707577765,0.030066183,0.878205538,-0.168987453,-0.146125302
-0.394109964,-0.432553291,-0.818580747,-0.306084007,-0.882682323,1.458021522,-1.128403187,0.14678131,0.191408128,-0.17976743,-0.146125302
-0.353237271,1.933286071,-0.11748077,0.243787959,-0.386433214,0.688892543,0.112212643,-0.562420487,0.756298423,0.093901798,-0.146125302
-0.120893322,-0.379180402,-0.359689802,-0.127103195,-0.493057489,0.763168991,0.135684013,-0.283290654,1.189408422,-0.235710338,-0.146125302
-0.462751329,0.631314158,-0.210950315,-0.079545729,-0.127951235,0.606694877,-0.539486885,-0.0287397,1.148929954,0.023316514,-0.146125302
-0.27590397,0.306815475,0.134392664,-0.248702914,0.102824375,2.346539736,-0.711606264,0.8486678,0.800160408,-0.219181746,-0.146125302
-0.4149203,-0.018758386,0.056838535,0.263513744,-0.337433249,0.889764786,-0.840619385,0.206698015,1.271201372,0.157946512,0.508600354
-0.486400306,-0.484499007,-0.263245821,0.028087934,-0.637102425,0.608252704,-0.674227953,-0.286248893,1.49681139,-0.28710857,-0.146125302
-0.27590397,-0.134399623,-0.715411901,0.620647728,-1.010829449,0.549166381,-0.351816684,-0.684511244,0.441013128,-0.149737477,-0.146125302
-0.253470123,0.580677807,-0.215789273,-0.319917619,0.090435147,1.851983428,-0.460637748,1.464251399,0.739651024,0.200612023,-0.146125302
-0.260372847,2.343372107,-0.385990381,0.065854438,0.166676551,1.071348071,-0.046280697,0.270154148,0.827763021,0.242961958,-0.146125302
