,Phenotype
Cell1120,2
Cell1121,2
Cell1122,2
Cell1123,2
Cell1124,2
Cell1125,2
Cell1126,2
Cell1127,2
Cell1128,2
Cell1129,2
Cell1130,2
Cell1131,2
Cell1132,2
Cell1133,2
Cell1134,2
Cell1135,2
Cell1136,2
Cell1137,2
Cell1138,2
Cell1139,2
Cell1140,2
Cell1141,2
Cell1142,2
Cell1143,2
Cell1144,2
Cell1145,2
Cell1146,2
Cell1147,2
Cell1148,2
Cell1149,2
Cell1150,2
Cell1151,2
Cell1152,2
Cell1153,2
Cell1154,2
Cell1155,2
Cell1156,2
Cell1157,2
Cell1158,2
Cell1159,2
Cell1160,2
Cell1161,2
Cell1162,2
Cell1163,2
Cell1164,2
Cell1165,2
Cell1166,2
Cell1167,2
Cell1168,2
Cell1169,2
Cell1170,2
Cell1171,2
Cell1172,2
Cell1173,2
Cell1174,2
Cell1175,2
Cell1176,2
Cell1177,2
Cell1178,2
Cell1179,2
Cell1180,2
Cell1181,2
Cell1182,2
Cell1183,2
Cell1184,2
Cell1185,2
Cell1186,2
Cell1187,2
Cell1188,2
Cell1189,2
Cell1190,2
Cell1191,2
Cell1192,2
Cell1193,2
Cell1194,2
Cell1195,2
Cell1196,2
Cell1197,2
Cell1198,2
Cell1199,2
Cell1200,2
Cell1201,2
Cell1202,2
Cell1203,2
Cell1204,2
Cell1205,2
Cell1206,2
Cell1207,2
Cell1208,2
Cell1209,2
Cell1210,2
Cell1211,2
Cell1212,2
Cell1213,2
Cell1214,2
Cell1215,2
Cell1216,2
Cell1217,2
Cell1218,2
Cell1219,2
Cell1220,2
Cell1221,2
Cell1222,2
Cell1223,2
Cell1224,2
Cell1225,2
Cell1226,2
Cell1227,2
Cell1228,2
Cell1229,2
Cell1230,2
Cell1231,2
Cell1232,2
Cell1233,2
Cell1234,2
Cell1235,2
Cell1236,2
Cell1237,2
Cell1238,2
Cell1239,2
Cell1240,2
Cell1241,2
Cell1242,2
Cell1243,2
Cell1244,2
Cell1245,2
Cell1246,2
Cell1247,2
Cell1248,2
Cell1249,2
Cell1250,2
Cell1251,2
Cell1252,2
Cell1253,2
Cell1254,2
Cell1255,2
Cell1256,2
Cell1257,2
Cell1258,2
Cell1259,2
Cell1260,2
Cell1261,2
Cell1262,2
Cell1263,2
Cell1264,2
Cell1265,2
Cell1266,2
Cell1267,2
Cell1268,2
Cell1269,2
Cell1270,2
Cell1271,2
Cell1272,2
Cell1273,2
Cell1274,2
Cell1275,2
Cell1276,2
Cell1277,2
Cell1278,2
Cell1279,2
Cell1280,2
Cell1281,2
Cell1282,2
Cell1283,2
Cell1284,2
Cell1285,2
Cell1286,2
Cell1287,2
Cell1288,2
Cell1289,2
Cell1290,2
Cell1291,2
Cell1292,2
Cell1293,2
Cell1294,2
Cell1295,2
Cell1296,2
Cell1297,2
Cell1298,2
Cell1299,2
Cell1300,2
Cell1301,2
Cell1302,2
Cell1303,2
Cell1304,2
Cell1305,2
Cell1306,2
Cell1307,2
Cell1308,2
Cell1309,2
Cell1310,2
Cell1311,2
Cell1312,2
Cell1313,2
Cell1314,2
Cell1315,2
Cell1316,2
Cell1317,2
Cell1318,2
Cell1319,2
Cell1320,2
Cell1321,2
Cell1322,2
Cell1323,2
Cell1324,2
Cell1325,2
Cell1326,2
Cell1327,2
Cell1328,2
Cell1329,2
Cell1330,2
Cell1331,2
Cell1332,2
Cell1333,2
Cell1334,2
Cell1335,2
Cell1336,2
Cell1337,2
Cell1338,2
Cell1339,2
Cell1340,2
Cell1341,2
Cell1342,2
Cell1343,2
Cell1344,2
Cell1345,2
Cell1346,2
Cell1347,2
Cell1348,2
Cell1349,2
Cell1350,2
Cell1351,2
Cell1352,2
Cell1353,2
Cell1354,2
Cell1355,2
Cell1356,2
Cell1357,2
Cell1358,2
Cell1359,2
Cell1360,2
Cell1361,2
Cell1362,2
Cell1363,2
Cell1364,2
Cell1365,2
Cell1366,2
Cell1367,2
Cell1368,2
Cell1369,2
Cell1370,2
Cell1371,2
Cell1372,2
Cell1373,2
Cell1374,2
Cell1375,2
Cell1376,2
Cell1377,2
Cell1378,2
Cell1379,2
Cell1380,2
Cell1381,2
Cell1382,2
Cell1383,2
Cell1384,2
Cell1385,2
Cell1386,2
Cell1387,2
Cell1388,2
Cell1389,2
Cell1390,2
Cell1391,2
Cell1392,2
Cell1393,2
Cell1394,2
Cell1395,2
Cell1396,2
Cell1397,2
Cell1398,2
Cell1399,2
Cell1400,2
Cell1401,2
Cell1402,2
Cell1403,2
Cell1404,2
Cell1405,2
Cell1406,2
Cell1407,2
Cell1408,2
Cell1409,2
Cell1410,2
Cell1411,2
Cell1412,2
Cell1413,2
Cell1414,2
Cell1415,2
Cell1416,2
Cell1417,2
Cell1418,2
Cell1419,2
Cell1420,2
Cell1421,2
Cell1422,2
Cell1423,2
Cell1424,2
Cell1425,2
Cell1426,2
Cell1427,2
Cell1428,2
Cell1429,2
Cell1430,2
Cell1431,2
Cell1432,2
Cell1433,2
Cell1434,2
Cell1435,2
Cell1436,2
Cell1437,2
Cell1438,2
Cell1439,2
Cell1440,2
Cell1441,2
Cell1442,2
Cell1443,2
Cell1444,2
Cell1445,2
Cell1446,2
Cell1447,2
Cell1448,2
Cell1449,2
Cell1450,2
Cell1451,2
Cell1452,2
Cell1453,2
Cell1454,2
Cell1455,2
Cell1456,2
Cell1457,2
Cell1458,2
Cell1459,2
Cell1460,2
Cell1461,2
Cell1462,2
Cell1463,2
Cell1464,2
Cell1465,2
Cell1466,2
Cell1467,2
Cell1468,2
Cell1469,2
Cell1470,2
Cell1471,2
Cell1472,2
Cell1473,2
Cell1474,2
Cell1475,2
Cell1476,2
Cell1477,2
Cell1478,2
Cell1479,2
Cell1480,2
Cell1481,2
Cell1482,2
Cell1483,2
Cell1484,2
Cell1485,2
Cell1486,2
Cell1487,2
Cell1488,2
Cell1489,2
Cell1490,2
Cell1491,2
Cell1492,2
Cell1493,2
Cell1494,2
Cell1495,2
Cell1496,2
Cell1497,2
Cell1498,2
Cell1499,2
Cell1500,2
Cell1501,2
