CD107a,CD45,CD86,FerritinHC,HLADR,Mac2,MerTK,PLP,S100B,TIM3,Vimentin
-1.006014228,-1.835589886,0.09533383,1.124431729,-0.784337461,-0.279508531,-0.587777793,-0.300920486,3.258211851,0.87474829,-0.076812387
-1.124219418,-1.914844751,-0.260542154,1.390431881,-0.70001334,-0.311068624,-0.588795066,-0.045794759,3.248202324,0.829126894,-0.076812387
-0.969461977,-1.136558056,-0.394677967,-0.050416842,1.868651986,0.089115083,-0.548676729,1.558874249,3.69734931,0.853204846,-0.076812387
-1.000224471,-1.265662313,-0.562828064,0.838122964,0.426731557,-0.10241808,-0.572810531,-0.700302839,3.414841652,0.767773926,-0.076812387
-1.069108129,-2.089657545,-0.872426629,1.107501626,0.137670264,-0.372927457,-0.626922607,-0.08484035,3.147922039,-0.267446131,-0.076812387
-0.918608248,-0.598007381,-0.323974907,0.557559907,-0.398392409,-0.483892411,-0.584186196,-0.524822116,2.501153708,0.445205092,-0.076812387
-0.736743391,-1.056071639,-0.401694328,1.083359957,-0.013825706,-0.399943948,-0.576076329,-0.551722765,2.954385519,0.306001276,-0.076812387
-0.69567734,-0.538815379,-0.191677257,0.750236809,0.941109598,-0.234811977,-0.587661266,-0.117367141,3.072699785,0.770177841,-0.076812387
-0.631951094,-0.92626673,-0.258208424,0.093634427,0.413694352,0.157508165,-0.534378171,-0.577654958,4.039309025,1.167107582,-0.076812387
-0.66078198,-1.772329807,-0.797876954,1.413700819,0.465565652,-0.215176269,-0.617028832,-0.614789367,4.835911751,0.791879833,-0.076812387
-0.938125134,-0.054510407,0.397358328,0.51285708,1.203968883,-0.370648414,-0.599650025,-0.456927776,1.83827281,0.964236498,-0.076812387
0.168566078,-1.526678562,-0.47489658,0.0599139,1.504028797,0.141116127,-0.567323744,-0.513886392,4.518287182,0.756190717,-0.076812387
-1.144288778,-1.154734015,-0.598627388,0.480042309,0.296869427,-0.418779671,-0.613541245,-0.112420492,2.236265898,-0.15057376,-0.076812387
-0.399517238,-0.647337437,0.117295243,0.275373459,0.402788222,-0.364435136,-0.45718962,-0.560723424,2.036950827,0.220366076,-0.076812387
-1.095434427,-1.509288669,-0.586277902,0.37119329,-0.581519425,-0.329277933,-0.577117026,-0.635090232,3.375687599,1.002588511,-0.076812387
-1.124011159,-1.598010302,-0.107317775,1.264045596,0.280254722,-0.208054066,-0.588006675,0.877130926,4.656077862,0.669451952,-0.076812387
-0.665011764,-1.183638334,-0.240403131,0.365883261,0.929829955,-0.3979882,-0.591340542,-0.336710751,3.07946229,0.818683445,-0.076812387
-0.697698593,-1.827422023,-0.419736326,0.516904652,-0.357697517,-0.490917832,-0.594200909,-0.324190676,1.795494556,0.542363703,-0.076812387
-0.518448353,-0.007078066,-0.230879351,0.617513895,0.837385476,-0.256123304,-0.432440549,0.079153985,1.673118114,0.389323294,-0.076812387
0.05348514,-0.332648575,-0.123155408,-0.575819492,0.716675401,0.063771248,-0.283044219,0.064298578,2.166661501,0.460405827,-0.076812387
-0.545909762,-1.740103364,-0.36811325,0.800642967,-0.717012227,-0.211922973,-0.574103475,-0.465421855,3.996297598,0.444377452,-0.076812387
-0.400781423,0.262717038,0.468173593,0.29224357,0.941109598,-0.381284177,-0.553328097,-0.027922241,1.771052122,0.639464796,-0.076812387
